id,part,file,fps
LT276136,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/LT276136_part_2_neutral.mkv,30.3
LT276136,joy,/data/sit_21_hu_video_mix_home/processed/hrv/LT276136_part_2_joy.mkv,30.3
LT276136,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/LT276136_part_2_disgust.mkv,30.3
LW314229,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/LW314229_part_2_neutral.mkv,30.3
LW314229,joy,/data/sit_21_hu_video_mix_home/processed/hrv/LW314229_part_2_joy.mkv,30.3
LW314229,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/LW314229_part_2_disgust.mkv,30.3
MS422416,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/MS422416_part_2_neutral.mkv,30.3
MS422416,joy,/data/sit_21_hu_video_mix_home/processed/hrv/MS422416_part_2_joy.mkv,30.3
MS422416,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/MS422416_part_2_disgust.mkv,30.3
NH761545,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/NH761545_part_2_neutral.mkv,28.885557221389302
NH761545,joy,/data/sit_21_hu_video_mix_home/processed/hrv/NH761545_part_2_joy.mkv,25.950999355254673
NH761545,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/NH761545_part_2_disgust.mkv,27.8886872353297
NL598558,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/NL598558_part_2_neutral.mkv,30.3
NL598558,joy,/data/sit_21_hu_video_mix_home/processed/hrv/NL598558_part_2_joy.mkv,30.3
NL598558,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/NL598558_part_2_disgust.mkv,30.3
NS397755,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/NS397755_part_2_neutral.mkv,30.3
NS397755,joy,/data/sit_21_hu_video_mix_home/processed/hrv/NS397755_part_2_joy.mkv,30.3
NS397755,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/NS397755_part_2_disgust.mkv,30.3
PB838729,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/PB838729_part_2_neutral.mkv,30.3
PB838729,joy,/data/sit_21_hu_video_mix_home/processed/hrv/PB838729_part_2_joy.mkv,30.3
PB838729,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/PB838729_part_2_disgust.mkv,30.3
PK281913,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/PK281913_part_2_neutral.mkv,30.3
PK281913,joy,/data/sit_21_hu_video_mix_home/processed/hrv/PK281913_part_2_joy.mkv,30.3
